,date,adType,category,placement,keywords,body,ageMean,clickPerDollar
23,3/26/2013,Photo Post,High End,mobile,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,38.92333446
24,3/26/2013,Photo Post,eCom,desktopfeed,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,28.11461755
25,3/26/2013,Photo Post,Retailer,desktopfeed,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,38.14308754
26,3/26/2013,Photo Post,eCom,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics",Check out a sneak peak of what's new in our stores!,44.5,22.92746273
27,3/26/2013,Photo Post,Cosmetics,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics",Check out a sneak peak of what's new in our stores!,44.5,45.45281232
28,3/26/2013,Photo Post,Cosmetics,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics",Check out a sneak peak of what's new in our stores!,44.5,11.10577961
29,3/26/2013,Photo Post,Cosmetics,mobile,#Abercrombie & Fitch,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,56.56031871
30,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Abercrombie & Fitch,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,18.75132112
31,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Abercrombie & Fitch,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,52.0143858
32,3/26/2013,Photo Post,High End,mobile,#Lululemon Athletica,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,82.66036079
33,3/26/2013,Photo Post,High End,desktopfeed,#Lululemon Athletica,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,81.48173446
34,3/26/2013,Photo Post,General,desktopfeed,#Lululemon Athletica,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,63.94195915
35,3/26/2013,Photo Post,Cosmetics,mobile,#American Eagle Outfitters,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,93.32825332
36,3/26/2013,Photo Post,High End,mobile,#American Eagle Outfitters,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,76.29174025
37,3/26/2013,Photo Post,Retailer,mobile,#American Eagle Outfitters,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,62.33295478
38,3/26/2013,Photo Post,Department,desktopfeed,#Shopping,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,59.07679204
39,3/26/2013,Photo Post,Department,mobile,#Shopping,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,42.53482492
40,3/26/2013,Photo Post,Department,desktopfeed,#Shopping,"Click """"Like"""" to see what's new in our stores for Spring!!",27,99.31422039
41,3/26/2013,Photo Post,Retailer,mobile,#Shopping,"Click """"Like"""" to see what's new in our stores for Spring!!",27,95.74492142
42,3/26/2013,Photo Post,Department,mobile,#Shopping,"Click """"Like"""" to see what's new in our stores for Spring!!",27,79.23077727
43,3/26/2013,Photo Post,Department,mobile,#Shopping,Check out a sneak peak of what's new in our stores!,52,73.78623346
44,3/26/2013,Photo Post,Department,mobile,#Shopping,Check out a sneak peak of what's new in our stores!,52,76.05893872
45,3/26/2013,Photo Post,Retailer,mobile,#Shopping,Check out a sneak peak of what's new in our stores!,52,64.45306286
46,3/26/2013,Photo Post,Retailer,mobile,#Lululemon Athletica,Check out a sneak peak of what's new in our stores!,27,55.87875936
47,3/26/2013,Photo Post,General,desktopfeed,#Lululemon Athletica,Check out a sneak peak of what's new in our stores!,27,48.16760291
48,3/26/2013,Photo Post,Retailer,desktopfeed,#Lululemon Athletica,Check out a sneak peak of what's new in our stores!,27,17.55760353
49,3/26/2013,Photo Post,eCom,mobile,#Lucky Brand Jeans,"Click """"Like"""" to become a fan of Retail Store X!",34.5,113.3114616
50,3/26/2013,Photo Post,High End,mobile,#Lucky Brand Jeans,"Click """"Like"""" to become a fan of Retail Store X!",34.5,94.97693133
51,3/26/2013,Photo Post,High End,desktopfeed,#Lucky Brand Jeans,"Click """"Like"""" to become a fan of Retail Store X!",34.5,47.19970606
52,3/26/2013,Photo Post,Retailer,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,82.42590796
53,3/26/2013,Photo Post,High End,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,86.17996666
54,3/26/2013,Photo Post,High End,desktopfeed,#American Eagle Outfitters,"Click """"Like"""" to become a fan of Retail Store X!",27,53.65291618
55,3/26/2013,Photo Post,eCom,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,24.53184403
56,3/26/2013,Photo Post,Retailer,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,44.0478483
57,3/26/2013,Photo Post,eCom,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,30.57061742
58,3/26/2013,Photo Post,Cosmetics,mobile,#Abercrombie & Fitch,"Click """"Like"""" to see what's new in our stores for Spring!!",34.5,86.2516656
59,3/26/2013,Photo Post,Cosmetics,mobile,#Abercrombie & Fitch,"Click """"Like"""" to see what's new in our stores for Spring!!",34.5,75.48908271
60,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Abercrombie & Fitch,"Click """"Like"""" to see what's new in our stores for Spring!!",34.5,61.71300182
61,3/26/2013,Photo Post,Cosmetics,mobile,#Abercrombie & Fitch,"What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,66.33291368
62,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Lucky Brand Jeans,Check out a sneak peak of what's new in our stores!,44.5,43.05578875
63,3/26/2013,Photo Post,High End,desktopfeed,#Lucky Brand Jeans,Check out a sneak peak of what's new in our stores!,44.5,21.90218103
64,3/26/2013,Photo Post,High End,desktopfeed,#Lucky Brand Jeans,Check out a sneak peak of what's new in our stores!,44.5,60.06881435
65,3/26/2013,Photo Post,General,mobile,#American Eagle Outfitters,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,66.62385156
66,3/26/2013,Photo Post,Cosmetics,desktopfeed,#American Eagle Outfitters,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,26.32522802
67,3/26/2013,Photo Post,High End,desktopfeed,#American Eagle Outfitters,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,26.15293584
68,3/26/2013,Photo Post,Retailer,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",52,26.84517835
69,3/26/2013,Photo Post,Department,desktopfeed,#American Eagle Outfitters,"Click """"Like"""" to see what's new in our stores for Spring!!",44.5,87.96329573
70,3/26/2013,Photo Post,Department,mobile,#American Eagle Outfitters,"Click """"Like"""" to see what's new in our stores for Spring!!",44.5,104.6666772
71,3/26/2013,Photo Post,Department,desktopfeed,#American Eagle Outfitters,"Click """"Like"""" to see what's new in our stores for Spring!!",44.5,69.77874101
72,3/26/2013,Photo Post,Retailer,mobile,#Shopping,"Click """"Like"""" to see what's new in our stores for Spring!!",44.5,98.43774613
73,3/26/2013,Photo Post,Department,desktopfeed,#Shopping,"Click """"Like"""" to see what's new in our stores for Spring!!",44.5,77.07918668
74,3/26/2013,Photo Post,Department,desktopfeed,#Shopping,"Click """"Like"""" to see what's new in our stores for Spring!!",44.5,88.71884423
75,3/26/2013,Photo Post,Department,desktopfeed,#Shopping,"Click """"Like"""" to become a fan of Retail Store X!",34.5,58.87602471
76,3/26/2013,Photo Post,Retailer,mobile,#Shopping,"Click """"Like"""" to become a fan of Retail Store X!",34.5,108.941905
77,3/26/2013,Photo Post,Retailer,mobile,#Shopping,"Click """"Like"""" to become a fan of Retail Store X!",34.5,105.0563644
78,3/26/2013,Photo Post,General,desktopfeed,#Lululemon Athletica,"Click """"Like"""" to see what's new in our stores for Spring!!",27,53.83434632
79,3/26/2013,Photo Post,Retailer,mobile,#Lululemon Athletica,"Click """"Like"""" to see what's new in our stores for Spring!!",27,88.08935544
80,3/26/2013,Photo Post,eCom,mobile,#Lululemon Athletica,"Click """"Like"""" to see what's new in our stores for Spring!!",27,135.8138362
81,3/26/2013,Photo Post,High End,desktopfeed,#Lucky Brand Jeans,"Click """"Like"""" to see what's new in our stores for Spring!!",27,61.04044613
82,3/26/2013,Photo Post,High End,mobile,#Lucky Brand Jeans,"Click """"Like"""" to see what's new in our stores for Spring!!",27,64.67746706
83,3/26/2013,Photo Post,Retailer,desktopfeed,#Lucky Brand Jeans,"Click """"Like"""" to see what's new in our stores for Spring!!",27,54.21120013
84,3/26/2013,Photo Post,High End,desktopfeed,#Shopping,"Click """"Like"""" to become a fan of Retail Store X!",27,62.13101333
85,3/26/2013,Photo Post,High End,mobile,#Shopping,"Click """"Like"""" to become a fan of Retail Store X!",27,85.04051787
86,3/26/2013,Photo Post,eCom,desktopfeed,#Shopping,"Click """"Like"""" to become a fan of Retail Store X!",27,78.13024888
87,3/26/2013,Photo Post,Retailer,mobile,#American Eagle Outfitters,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,97.55720063
88,3/26/2013,Photo Post,eCom,desktopfeed,#American Eagle Outfitters,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,50.30750056
89,3/26/2013,Photo Post,Cosmetics,desktopfeed,#American Eagle Outfitters,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,68.68904992
90,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Shopping,"Click """"Like"""" to become a fan of Retail Store X!",34.5,84.64332069
91,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Shopping,"Click """"Like"""" to become a fan of Retail Store X!",34.5,44.06286112
92,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Shopping,"Click """"Like"""" to become a fan of Retail Store X!",34.5,80.73666937
93,3/26/2013,Photo Post,Cosmetics,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,40.07324836
94,3/26/2013,Photo Post,High End,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,48.81188519
95,3/26/2013,Photo Post,High End,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,34.00729634
96,3/26/2013,Photo Post,General,mobile,#American Eagle Outfitters,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",27,54.4328551
97,3/26/2013,Photo Post,Cosmetics,desktopfeed,#American Eagle Outfitters,Check out a sneak peak of what's new in our stores!,34.5,28.15342155
98,3/26/2013,Photo Post,High End,desktopfeed,#Lululemon Athletica,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",27,30.77460991
99,3/26/2013,Photo Post,Retailer,mobile,#Lululemon Athletica,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",27,44.17309864
100,3/26/2013,Photo Post,Department,mobile,#Lululemon Athletica,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",27,34.0099857
101,3/26/2013,Photo Post,Department,mobile,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,72.30553387
102,3/26/2013,Photo Post,Department,desktopfeed,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,56.55071114
103,3/26/2013,Photo Post,Retailer,desktopfeed,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,71.00181124
104,3/26/2013,Photo Post,Department,mobile,#Abercrombie & Fitch,"What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,70.99313982
105,3/26/2013,Photo Post,Department,mobile,#Abercrombie & Fitch,"What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,60.79574823
106,3/26/2013,Photo Post,Department,desktopfeed,#Abercrombie & Fitch,"What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,25.51881147
107,3/26/2013,Photo Post,Retailer,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,47.49755558
108,3/26/2013,Photo Post,Retailer,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",27,22.61531971
109,3/26/2013,Photo Post,General,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",27,36.48391708
110,3/26/2013,Photo Post,Retailer,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","What's your favorite Spring fashion trend? """"Like"""" us and share!",27,56.14662734
111,3/26/2013,Photo Post,eCom,mobile,#American Eagle Outfitters,Check out a sneak peak of what's new in our stores!,27,108.8507601
112,3/26/2013,Photo Post,High End,mobile,#Abercrombie & Fitch,Check out a sneak peak of what's new in our stores!,44.5,54.41834325
113,3/26/2013,Photo Post,High End,desktopfeed,#Abercrombie & Fitch,Check out a sneak peak of what's new in our stores!,44.5,31.12818333
114,3/26/2013,Photo Post,Retailer,desktopfeed,#Lululemon Athletica,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,46.65609354
115,3/26/2013,Photo Post,High End,desktopfeed,#Lululemon Athletica,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,79.57368579
116,3/26/2013,Photo Post,High End,desktopfeed,#Lululemon Athletica,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,80.47962049
117,3/26/2013,Photo Post,eCom,mobile,#Lululemon Athletica,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,56.13442603
118,3/26/2013,Photo Post,Retailer,desktopfeed,#Lululemon Athletica,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,37.90429818
119,3/26/2013,Photo Post,eCom,desktopfeed,#Lululemon Athletica,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,27.03419644
120,3/26/2013,Photo Post,Cosmetics,mobile,#Lucky Brand Jeans,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,59.97316556
121,3/26/2013,Photo Post,Cosmetics,mobile,#Lucky Brand Jeans,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,52.22490877
122,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Lucky Brand Jeans,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,49.62930907
123,3/26/2013,Photo Post,Cosmetics,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics",Check out a sneak peak of what's new in our stores!,27,37.34760266
124,3/26/2013,Photo Post,Cosmetics,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics",Check out a sneak peak of what's new in our stores!,27,35.69473319
125,3/26/2013,Photo Post,High End,mobile,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,89.89711286
126,3/26/2013,Photo Post,High End,desktopfeed,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,42.15429214
127,3/26/2013,Photo Post,General,mobile,#Lucky Brand Jeans,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",34.5,70.93062309
128,3/26/2013,Photo Post,Cosmetics,desktopfeed,#American Eagle Outfitters,"What's your favorite Spring fashion trend? """"Like"""" us and share!",52,54.83258142
129,3/26/2013,Photo Post,High End,desktopfeed,#Shopping,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,69.75735781
130,3/26/2013,Photo Post,Retailer,mobile,#Shopping,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,105.9517897
131,3/26/2013,Photo Post,Department,mobile,#Shopping,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,80.10526161
132,3/26/2013,Photo Post,Department,desktopfeed,#Abercrombie & Fitch,"What's your favorite Spring fashion trend? """"Like"""" us and share!",52,69.4030521
133,3/26/2013,Photo Post,Department,desktopfeed,#American Eagle Outfitters,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,26.7557153
134,3/26/2013,Photo Post,Retailer,mobile,#American Eagle Outfitters,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,64.19859715
135,3/26/2013,Photo Post,Department,mobile,#American Eagle Outfitters,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",34.5,50.40585
136,3/26/2013,Photo Post,Department,mobile,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",52,76.59141986
137,3/26/2013,Photo Post,Department,mobile,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",52,53.66360044
138,3/26/2013,Photo Post,Retailer,mobile,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",52,79.59784429
139,3/26/2013,Photo Post,Retailer,mobile,#Shopping,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,75.90087427
140,3/26/2013,Photo Post,General,mobile,#Shopping,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,43.47799565
141,3/26/2013,Photo Post,Retailer,mobile,#Shopping,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,42.63708034
142,3/26/2013,Photo Post,eCom,mobile,#Lucky Brand Jeans,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,84.0624344
143,3/26/2013,Photo Post,High End,desktopfeed,#Lucky Brand Jeans,"Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,6.875
144,3/26/2013,Photo Post,Retailer,mobile,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,67.24346988
145,3/26/2013,Photo Post,High End,desktopfeed,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,36.81569005
146,3/26/2013,Photo Post,High End,desktopfeed,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",34.5,37.23207975
147,3/26/2013,Photo Post,eCom,mobile,#Abercrombie & Fitch,"Click """"Like"""" to see what's new in our stores for Spring!!",52,112.2742069
148,3/26/2013,Photo Post,Retailer,desktopfeed,#Abercrombie & Fitch,"Click """"Like"""" to see what's new in our stores for Spring!!",52,104.7981111
149,3/26/2013,Photo Post,eCom,mobile,#American Eagle Outfitters,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,114.698244
150,3/26/2013,Photo Post,Cosmetics,mobile,#American Eagle Outfitters,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,85.90542629
151,3/26/2013,Photo Post,Cosmetics,mobile,#American Eagle Outfitters,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,93.18576291
152,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,21.01679793
153,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,20.83418117
154,3/26/2013,Photo Post,Cosmetics,mobile,#Lucky Brand Jeans,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,61.04233695
155,3/26/2013,Photo Post,High End,desktopfeed,#Abercrombie & Fitch,"Click """"Like"""" to see what's new in our stores for Spring!!",27,63.58209685
156,3/26/2013,Photo Post,High End,mobile,#Abercrombie & Fitch,"Click """"Like"""" to see what's new in our stores for Spring!!",27,70.69694833
157,3/26/2013,Photo Post,General,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,31.76645961
158,3/26/2013,Photo Post,Cosmetics,desktopfeed,#Lululemon Athletica,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,34.87130725
159,3/26/2013,Photo Post,High End,desktopfeed,#Lululemon Athletica,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,26.04679535
160,3/26/2013,Photo Post,Retailer,desktopfeed,#Lululemon Athletica,"What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,63.80361727
161,3/26/2013,Photo Post,Department,mobile,#American Eagle Outfitters,"Click """"Like"""" to see what's new in our stores for Spring!!",52,95.13697506
162,3/26/2013,Photo Post,Department,desktopfeed,#American Eagle Outfitters,"Click """"Like"""" to see what's new in our stores for Spring!!",52,88.3678906
163,3/26/2013,Photo Post,Department,mobile,#American Eagle Outfitters,"Click """"Like"""" to see what's new in our stores for Spring!!",52,98.29899767
164,3/26/2013,Photo Post,Retailer,mobile,#Shopping,Check out a sneak peak of what's new in our stores!,52,54.03112573
165,3/26/2013,Photo Post,Department,desktopfeed,#Shopping,Check out a sneak peak of what's new in our stores!,52,30.51033494
166,3/26/2013,Photo Post,Department,desktopfeed,#Shopping,Check out a sneak peak of what's new in our stores!,52,44.21140735
167,3/26/2013,Photo Post,Department,desktopfeed,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Click """"Like"""" to become a fan of Retail Store X!",34.5,63.85253493
168,3/26/2013,Photo Post,Retailer,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Click """"Like"""" to become a fan of Retail Store X!",34.5,97.5899936
169,3/26/2013,Photo Post,Retailer,desktopfeed,#Shopping,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,86.25863559
170,3/26/2013,Photo Post,General,mobile,#Shopping,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,103.9920552
171,3/26/2013,Photo Post,Retailer,mobile,#Shopping,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,91.98964837
172,3/26/2013,Photo Post,eCom,mobile,#Lucky Brand Jeans,Check out a sneak peak of what's new in our stores!,44.5,94.96702676
173,3/26/2013,Photo Post,Retailer,mobile,#Lucky Brand Jeans,"Click """"Like"""" to become a fan of Retail Store X!",44.5,76.92274097
174,3/26/2013,Photo Post,High End,mobile,#Lucky Brand Jeans,"Click """"Like"""" to become a fan of Retail Store X!",44.5,65.0020781
175,3/26/2013,Photo Post,High End,mobile,#Lucky Brand Jeans,"Click """"Like"""" to become a fan of Retail Store X!",44.5,103.246462
176,3/26/2013,Photo Post,eCom,mobile,#Lucky Brand Jeans,"Click """"Like"""" to see what's new in our stores for Spring!!",27,128.3152952
177,3/26/2013,Photo Post,Retailer,mobile,#Lucky Brand Jeans,"Click """"Like"""" to see what's new in our stores for Spring!!",27,77.2061889
178,3/26/2013,Photo Post,eCom,desktopfeed,#American Eagle Outfitters,"What's your favorite Spring fashion trend? """"Like"""" us and share!",27,43.70777492
179,3/26/2013,Photo Post,Cosmetics,desktopfeed,#American Eagle Outfitters,Check out a sneak peak of what's new in our stores!,27,17.97614838
180,3/26/2013,Photo Post,Cosmetics,mobile,#Abercrombie & Fitch,"Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",27,111.0828577
181,3/26/2013,Photo Post,Cosmetics,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,98.82447601
182,3/26/2013,Photo Post,Cosmetics,mobile,"#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",52,96.22567674
